"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 1",0.00766386063992617,40.9070361714948,40.9070361714948
"dim 2",0.00368832368638713,19.6869955678986,60.5940317393935
"dim 3",0.00241120120778361,12.8701576995933,73.4641894389868
"dim 4",0.00138283915691646,7.38111691601507,80.8453063550019
"dim 5",0.00100165921147739,5.34651026689486,86.1918166218967
"dim 6",0.000723332410334572,3.8608981117715,90.0527147336682
"dim 7",0.000658600171206251,3.51537981859053,93.5680945522588
"dim 8",0.000454848579497409,2.42782432617836,95.9959188784371
"dim 9",0.000373913668331803,1.99582177627029,97.9917406547074
"dim 10",0.000263057265696894,1.40410865862783,99.3958493133352
"dim 11",0.000113186559121599,0.604150686664743,100
