"","Factor1","Factor2","Factor3","Factor4"
"fixed.acidity",0.438147844737312,-0.52116038982645,0.627993320253915,0.202950130761912
"volatile.acidity",0.122861441589641,0.327921148746627,-0.202371916838513,-0.218223911950495
"citric.acid",0.161555934477962,-0.429654242602276,0.499068493590806,0.373021460210755
"residual.sugar",0.184892597679814,0.325424591453901,0.379288727984714,0.124653731085677
"chlorides",0.245046223025888,-0.0932019520380727,-0.0198441133071316,0.0987269660210876
"free.sulfur.dioxide",0.0265606484983649,0.451267130250517,-0.104107810426112,0.575459011541874
"total.sulfur.dioxide",0.159949503878461,0.466787692885017,-0.148230160045587,0.750384749253136
"density",0.870633145048011,0.0307035416011495,0.485681952382008,-0.0138144800177492
"pH",-0.328771167656752,0.631848290547733,-0.168424020039777,-0.439473250186093
"sulphates",0.0369060935674455,-0.0745267219417436,0.245450442312669,0.167156609588377
"alcohol",-0.856003671222276,0.0158530732647848,0.511870203850769,-0.000438587303963112
