"","Factor1","Factor2","Factor3","Factor4"
"fixed.acidity",0.789826403513562,-0.273231636517878,-0.226617839390703,0.386405398021699
"volatile.acidity",-0.437745282701879,-0.106753748506225,0.0244188948482504,0.0871189091023057
"citric.acid",0.746720891511811,-0.064326199500481,-0.00896038943938863,0.192632346408048
"residual.sugar",0.04349274824835,0.0420369824478107,0.194915231137331,0.507773822559553
"chlorides",0.111925824649287,-0.252489860630265,0.0354269542015666,0.0366260686823249
"free.sulfur.dioxide",-0.0491529268875335,0.00097718203179936,0.732559602043887,0.0853139226423638
"total.sulfur.dioxide",0.0149575091212462,-0.1417130101893,0.893617508123046,0.0983132296217012
"density",0.239731789218864,-0.5873205931946,-0.101396057286169,0.763101965051257
"pH",-0.755688307495329,0.387694466015409,-0.00524191288846064,0.0861790948612582
"sulphates",0.26501790786124,0.0363899602635332,0.0528107504866137,0.144068899226265
"alcohol",0.226706970119003,0.967853855179492,-0.0819074826053672,0.0126068248942065
