"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 1",0.279761778325507,15.2597333632095,15.2597333632095
"dim 2",0.257747724356322,14.0589667830721,29.3187001462816
"dim 3",0.220137944466151,12.0075242436082,41.3262243898898
"dim 4",0.187929608450102,10.2507059154601,51.5769303053499
"dim 5",0.168764954265127,9.2053611417342,60.7822914470841
"dim 6",0.163686661878708,8.92836337520225,69.7106548222863
"dim 7",0.152888335257618,8.33936374132461,78.0500185636109
"dim 8",0.13838681734488,7.54837185517526,85.5983904187862
"dim 9",0.115691671340489,6.31045480039029,91.9088452191765
"dim 10",0.0861263672634841,4.69780185073549,96.606647069912
"dim 11",0.0622114703849469,3.39335293008801,100
